id,name,protein,carb,vegetable,sauce,calories,protein_g,carbs_g,fat_g,prep_time_min,difficulty,instructions
1,chicken_rice_meal_1,chicken,rice,broccoli,pesto,542,26,93,16,27,hard,1. Prepare the chicken by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the chicken until done. 5. Add the peppers and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the rice and serve.
2,chicken_rice_meal_2,chicken,rice,green beans,garlic sauce,549,31,84,29,57,medium,1. Prepare the chicken by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the chicken until done. 5. Add the broccoli and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the rice and serve.
3,chicken_pasta_meal_1,chicken,pasta,spinach,soy sauce,856,58,58,33,49,easy,1. Prepare the chicken by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the chicken until done. 5. Add the carrots and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the pasta and serve.
4,chicken_pasta_meal_2,chicken,pasta,broccoli,soy sauce,444,53,94,34,58,medium,1. Prepare the chicken by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the chicken until done. 5. Add the green beans and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the pasta and serve.
5,chicken_potatoes_meal_1,chicken,potatoes,peppers,teriyaki,693,23,56,16,31,hard,1. Prepare the chicken by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the chicken until done. 5. Add the spinach and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the potatoes and serve.
6,chicken_potatoes_meal_2,chicken,potatoes,zucchini,pesto,472,46,43,34,43,hard,1. Prepare the chicken by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the chicken until done. 5. Add the green beans and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the potatoes and serve.
7,chicken_quinoa_meal_1,chicken,quinoa,green beans,pesto,428,22,94,11,50,easy,1. Prepare the chicken by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the chicken until done. 5. Add the peppers and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the quinoa and serve.
8,chicken_quinoa_meal_2,chicken,quinoa,broccoli,tomato sauce,745,49,91,17,25,medium,1. Prepare the chicken by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the chicken until done. 5. Add the broccoli and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the quinoa and serve.
9,chicken_noodles_meal_1,chicken,noodles,green beans,teriyaki,844,51,92,19,19,easy,1. Prepare the chicken by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the chicken until done. 5. Add the broccoli and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the noodles and serve.
10,chicken_noodles_meal_2,chicken,noodles,spinach,tomato sauce,649,55,60,25,26,easy,1. Prepare the chicken by cutting and seasoning it. 2. Cook the noodles according to package instructions. 3. Chop the broccoli. 4. Heat a pan and cook the chicken until done. 5. Add the broccoli and cook until tender. 6. Stir in the soy sauce and mix well. 7. Combine with the noodles and serve.
11,beef_rice_meal_1,beef,rice,green beans,garlic sauce,750,39,51,31,22,easy,1. Prepare the beef by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the green beans. 4. Heat a pan and cook the beef until done. 5. Add the green beans and cook until tender. 6. Stir in the pesto and mix well. 7. Combine with the rice and serve.
12,beef_rice_meal_2,beef,rice,spinach,tomato sauce,458,32,61,12,52,medium,1. Prepare the beef by cutting and seasoning it. 2. Cook the rice according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the beef until done. 5. Add the carrots and cook until tender. 6. Stir in the teriyaki and mix well. 7. Combine with the rice and serve.
13,beef_pasta_meal_1,beef,pasta,peppers,cream sauce,770,22,52,31,49,medium,1. Prepare the beef by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the beef until done. 5. Add the zucchini and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the pasta and serve.
14,beef_pasta_meal_2,beef,pasta,spinach,pesto,482,40,60,21,43,easy,1. Prepare the beef by cutting and seasoning it. 2. Cook the pasta according to package instructions. 3. Chop the zucchini. 4. Heat a pan and cook the beef until done. 5. Add the zucchini and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the pasta and serve.
15,beef_potatoes_meal_1,beef,potatoes,carrots,garlic sauce,506,51,49,19,23,easy,1. Prepare the beef by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the spinach. 4. Heat a pan and cook the beef until done. 5. Add the spinach and cook until tender. 6. Stir in the tomato sauce and mix well. 7. Combine with the potatoes and serve.
16,beef_potatoes_meal_2,beef,potatoes,peppers,teriyaki,656,42,95,32,53,hard,1. Prepare the beef by cutting and seasoning it. 2. Cook the potatoes according to package instructions. 3. Chop the carrots. 4. Heat a pan and cook the beef until done. 5. Add the carrots and cook until tender. 6. Stir in the garlic sauce and mix well. 7. Combine with the potatoes and serve.
17,beef_quinoa_meal_1,beef,quinoa,peppers,tomato sauce,575,59,94,12,35,medium,1. Prepare the beef by cutting and seasoning it. 2. Cook the quinoa according to package instructions. 3. Chop the peppers. 4. Heat a pan and cook the beef until done. 5. Add the peppers and cook until tender. 6. Stir in the cream sauce and mix well. 7. Combine with the quinoa and serve.
