id,name,protein,carb,vegetable,sauce,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,prep_time_min,difficulty,ingredient_quantities,appliances,tags,instructions
1,chicken_rice_1,chicken,rice,onion,pesto,578,62,42,18,4,2,563,41,balanced,chicken:200g; rice:150g; onion:100g; pesto:75g; oil:10g,"stovetop, oven","batch-cooking, meal-prep, balanced, stovetop, oven",1. Batch cook chicken (store for 2–3 meals). 2. Prepare rice in bulk. 3. Cook onion. 4. Combine chicken with pesto. 5. Serve with rice.
2,chicken_rice_2,chicken,rice,carrots,soy sauce,578,62,42,18,4,2,466,51,weekend,chicken:200g; rice:150g; carrots:100g; soy sauce:75g; oil:10g,"air fryer, oven","batch-cooking, meal-prep, weekend, air fryer, oven",1. Batch cook chicken (store for 2–3 meals). 2. Marinate the chicken for better flavor. 3. Prepare rice in bulk. 4. Cook carrots. 5. Combine chicken with soy sauce. 6. Serve with rice. 7. Plate carefully and add garnish.
3,chicken_pasta_3,chicken,pasta,onion,teriyaki,560,62,38,18,4,2,538,10,quick,chicken:200g; pasta:150g; onion:100g; teriyaki:75g; oil:10g,oven,"batch-cooking, meal-prep, quick, oven",1. Batch cook chicken (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook onion. 4. Combine chicken with teriyaki. 5. Serve with pasta.
4,chicken_pasta_4,chicken,pasta,peppers,pesto,560,62,38,18,4,2,759,22,quick,chicken:200g; pasta:150g; peppers:100g; pesto:75g; oil:10g,stovetop,"batch-cooking, meal-prep, quick, stovetop",1. Batch cook chicken (store for 2–3 meals). 2. Prepare pasta in bulk. 3. Cook peppers. 4. Combine chicken with pesto. 5. Serve with pasta.
5,chicken_potatoes_5,chicken,potatoes,carrots,pesto,512,62,26,18,3,1,412,41,balanced,chicken:200g; potatoes:150g; carrots:100g; pesto:75g; oil:10g,"microwave, oven, slow cooker","batch-cooking, meal-prep, balanced, microwave, oven, slow cooker",1. Batch cook chicken (store for 2–3 meals). 2. Prepare potatoes in bulk. 3. Cook carrots. 4. Combine chicken with pesto. 5. Serve with potatoes.
6,chicken_potatoes_6,chicken,potatoes,spinach,cream sauce,512,62,26,18,3,1,700,52,weekend,chicken:200g; potatoes:150g; spinach:100g; cream sauce:75g; oil:10g,"microwave, oven","batch-cooking, meal-prep, weekend, microwave, oven",1. Batch cook chicken (store for 2–3 meals). 2. Marinate the chicken for better flavor. 3. Prepare potatoes in bulk. 4. Cook spinach. 5. Combine chicken with cream sauce. 6. Serve with potatoes. 7. Plate carefully and add garnish.
7,chicken_quinoa_7,chicken,quinoa,peppers,garlic sauce,560,68,32,18,3,2,591,18,quick,chicken:200g; quinoa:150g; peppers:100g; garlic sauce:75g; oil:10g,"air fryer, slow cooker","batch-cooking, meal-prep, quick, air fryer, slow cooker",1. Batch cook chicken (store for 2–3 meals). 2. Prepare quinoa in bulk. 3. Cook peppers. 4. Combine chicken with garlic sauce. 5. Serve with quinoa.
8,chicken_quinoa_8,chicken,quinoa,spinach,pesto,560,68,32,18,3,2,329,74,weekend,chicken:200g; quinoa:150g; spinach:100g; pesto:75g; oil:10g,"oven, slow cooker","batch-cooking, meal-prep, weekend, oven, slow cooker",1. Batch cook chicken (store for 2–3 meals). 2. Marinate the chicken for better flavor. 3. Prepare quinoa in bulk. 4. Cook spinach. 5. Combine chicken with pesto. 6. Serve with quinoa. 7. Plate carefully and add garnish.
9,chicken_noodles_9,chicken,noodles,broccoli,teriyaki,572,62,40,18,4,2,346,68,weekend,chicken:200g; noodles:150g; broccoli:100g; teriyaki:75g; oil:10g,stovetop,"batch-cooking, meal-prep, weekend, stovetop",1. Batch cook chicken (store for 2–3 meals). 2. Marinate the chicken for better flavor. 3. Prepare noodles in bulk. 4. Cook broccoli. 5. Combine chicken with teriyaki. 6. Serve with noodles. 7. Plate carefully and add garnish.
10,chicken_noodles_10,chicken,noodles,onion,soy sauce,572,62,40,18,4,2,739,21,quick,chicken:200g; noodles:150g; onion:100g; soy sauce:75g; oil:10g,oven,"batch-cooking, meal-prep, quick, oven",1. Batch cook chicken (store for 2–3 meals). 2. Prepare noodles in bulk. 3. Cook onion. 4. Combine chicken with soy sauce. 5. Serve with noodles.
11,chicken_tortilla_11,chicken,tortilla,green beans,teriyaki,710,62,75,18,8,4,447,11,quick,chicken:200g; tortilla:150g; green beans:100g; teriyaki:75g; oil:10g,"air fryer, stovetop, slow cooker","batch-cooking, meal-prep, quick, air fryer, stovetop, slow cooker",1. Batch cook chicken (store for 2–3 meals). 2. Prepare tortilla in bulk. 3. Cook green beans. 4. Combine chicken with teriyaki. 5. Serve with tortilla.
